daytime,filename,processnum,err,description
2020-07-22 09:13:17,newweb2wash,3,File "newweb2wash" line 112 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-22 09:17:17,newweb2wash,3,File "newweb2wash" line 113 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-22 09:22:39,newweb2wash,3,File "newweb2wash" line 113 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-22 09:30:39,newweb2wash,3,File "newweb2wash" line 113 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-22 17:21:18,newweb2wash,1,File "newweb2wash" line 55 in cadtc_ED_wash : [UnboundLocalError] local variable 'df' referenced before assignment,
2020-07-22 17:21:58,newweb2wash,1,File "newweb2wash" line 55 in cadtc_ED_wash : [UnboundLocalError] local variable 'df' referenced before assignment,
2020-07-22 17:23:39,newweb2wash,3,File "newweb2wash" line 113 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-24 21:36:14,web2wash,3,File "web2wash" line 144 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-24 21:39:25,web2wash,3,File "web2wash" line 144 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-24 23:05:10,web1wash,3,File "web1wash" line 173 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-25 14:48:13,newweb3,1,File "newweb3" line 62 in school1111 : [UnboundLocalError] local variable 'soup' referenced before assignment,
2020-07-25 14:49:37,newweb3,1,File "newweb3" line 62 in school1111 : [UnboundLocalError] local variable 'soup' referenced before assignment,
2020-07-25 14:50:44,newweb3,1,File "newweb3" line 62 in school1111 : [UnboundLocalError] local variable 'soup' referenced before assignment,
2020-07-25 14:51:44,newweb3,1,File "newweb3" line 62 in school1111 : [UnboundLocalError] local variable 'soup' referenced before assignment,
2020-07-25 14:52:39,newweb3,1,File "newweb3" line 63 in school1111 : [UnboundLocalError] local variable 'soup' referenced before assignment,
2020-07-25 14:53:34,newweb3,1,File "newweb3" line 63 in school1111 : [UnboundLocalError] local variable 'soup' referenced before assignment,
2020-07-25 15:39:27,newweb3,1,File "newweb3" line 436 in increment : [MaxRetryError] HTTPConnectionPool(host='127.0.0.1', port=51633): Max retries exceeded with url: /session/9c452c0cd081aadf598f9216cfb5abb3/window (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8fb907ad90>: Failed to establish a new connection: [Errno 61] Connection refused')),
2020-07-25 16:23:23,newweb3,2,File "newweb3" line 123 in <module> : [NameError] name 'soup' is not defined,執行完第一步驟時錯誤
2020-07-27 11:19:57,web3wash,2,File "web3wash" line 317 in <module> : [NameError] name 'df' is not defined,執行完第一步驟時錯誤
2020-07-27 11:43:00,web3wash,3,File "web3wash" line 263 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-27 11:44:37,web3wash,3,File "web3wash" line 263 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-27 11:51:34,web3wash,3,File "web3wash" line 281 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-27 11:55:58,web3wash,3,File "web3wash" line 281 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第二步驟時錯誤
2020-07-27 12:00:10,web3wash,3,File "web3wash" line 281 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第三步驟時錯誤
2020-07-27 12:02:25,web3wash,3,File "web3wash" line 281 in data_Frame : [UnboundLocalError] local variable 'df_wash' referenced before assignment,執行完第三步驟時錯誤
2020-09-02 09:43:14,newweb2,2,File "newweb2" line 371 in get_data : [UnboundLocalError] local variable 'title' referenced before assignment,執行完第二步驟時錯誤
2020-09-02 09:59:24,newweb2,2,File "newweb2" line 436 in increment : [MaxRetryError] HTTPConnectionPool(host='127.0.0.1', port=51950): Max retries exceeded with url: /session/b26cc85fcb96b268231cc1959876be9f/url (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcb8e95d750>: Failed to establish a new connection: [Errno 61] Connection refused')),執行完第二步驟時錯誤
2020-09-02 10:00:29,newweb2,2,File "newweb2" line 371 in get_data : [UnboundLocalError] local variable 'title' referenced before assignment,執行完第二步驟時錯誤
2020-09-02 10:28:33,newweb2,2,File "newweb2" line 368 in get_data : [UnboundLocalError] local variable 'title' referenced before assignment,執行完第二步驟時錯誤
2020-09-02 10:53:17,newweb2,2,File "newweb2" line 366 in get_data : [UnboundLocalError] local variable 'title' referenced before assignment,執行完第二步驟時錯誤
